,0,1,2,3,4,5,6,7,8,9,10,11
2015-08-20,1.0613349639062621,-0.5643986650045251,-0.4892773886107866,1.2192122151182785,-1.0252598085227056,0.4973578556617228,0.5355998246099957,0.16601673462648409,-0.3076680543984129,0.308497991575811,-1.2348933380001006,0.3219281628655515
2015-08-24,1.068398367728099,-0.5740712461577129,-0.6012571868028052,1.22511187851447,-0.9834777510187832,0.4093674053023988,0.8290409442903742,0.13664761544001808,-0.28637343549297556,0.44464301439845527,-1.3252568468084311,0.08315786686579199
2015-08-27,1.0877673425037244,-0.5804261857569285,-0.6351266971218646,1.1612518916165664,-0.9751616247645228,0.33627144447362306,0.9229145894272098,0.22409820037365002,-0.3609218664026136,0.4898247359590895,-1.2581588296170716,-0.040690668651894454
2015-08-31,1.1308523672015116,-0.5995081563289425,-0.5870225554993085,1.0692224908034111,-0.8023380848641188,0.2467432839105259,0.8013880383593895,0.2538003710364541,-0.39360468949139255,0.41327227243465364,-1.2157653219581965,-0.4016215119679506
2015-09-03,1.1550716323005226,-0.6287983269414844,-0.5560873364607722,1.0185495298236198,-0.6133954051718808,0.12294396522368069,0.5624934698350003,0.18005262226082724,-0.4358335240073309,0.3205324323319119,-1.3037374775955344,-0.5755730032358418
2015-09-07,1.1831308414131412,-0.6434180747049729,-0.5952981302551782,1.0360737870806893,-0.4861860980527772,0.11376797553858897,0.34632623710038757,0.16374435844882945,-0.5876196841556779,0.34610182136720086,-1.5017180547874411,-0.4471828131554705
2015-09-10,1.1981689190995108,-0.6465917242789656,-0.5431296170838649,1.033379662598725,-0.5329177149741775,0.13764512545505256,0.39288250663328894,0.21040261438926774,-0.6698560942762798,0.3929879522809209,-1.555991725080475,-0.3662958875972279
2015-09-14,1.275724376584395,-0.6970969863646683,-0.4052844188653367,0.9253273229476143,-0.7700907195861172,-0.16111085748978754,0.5382352378144563,0.23131147728152943,-0.6486330927355562,0.3854710196821596,-1.5206941675969736,-0.4182581548043108
2015-09-17,1.3641845098676446,-0.7418044836426048,-0.3277871772175429,0.8750359662605653,-0.9448510536966779,-0.4352071135665962,0.536788848685479,0.18848593239220407,-0.6266089615427946,0.3807318540369653,-1.5344858985733827,-0.4378147089723154
2015-09-21,1.4267139165813258,-0.7482474681118922,-0.21309703123057522,0.8271591993690529,-1.1402760454067793,-0.6922159019056374,0.4416319227485333,0.21172139195412368,-0.529458208947882,0.36236667289885655,-1.7100151803928012,-0.40295462772790874
2015-09-24,1.4359614256629436,-0.749369659088657,-0.16792107377541682,0.843465370104229,-1.1463934398354907,-0.8076086219679572,0.32591660766106767,0.3074657710354613,-0.44011284481276225,0.33719526505561254,-1.889039865346954,-0.3686833427305698
2015-09-28,1.4248625002032191,-0.772985544052767,-0.14279985925036426,0.9751077459240518,-0.9725702669656366,-0.7043075124551212,0.18509204098850018,0.23836952216278537,-0.4392011258694979,0.3798934559430502,-1.8793685913660207,-0.2265040903143551
2015-10-01,1.4473703077112123,-0.8011703502261944,-0.14027448497580303,1.0864997411753416,-0.8572985590551979,-0.5848816247156886,0.26148638044189104,0.21642667079256003,-0.4193955880739262,0.3407545478466774,-1.68411210776321,-0.07570205995385448
